Loading data...
Using  cuda
Training...
Epoch:  1 , validation loss:  2.04866886138916 , validation accuracy:  9.888579889553778 %, lr:  0.0001804352061632004
Epoch:  2 , validation loss:  1.9661056518554687 , validation accuracy:  11.363841306598278 %, lr:  0.0001804352061632004
Epoch:  3 , validation loss:  1.947966957092285 , validation accuracy:  10.164515093475304 %, lr:  0.0001804352061632004
Epoch:  4 , validation loss:  1.9003000259399414 , validation accuracy:  13.70730669205992 %, lr:  0.0001804352061632004
Epoch:  5 , validation loss:  1.883351707458496 , validation accuracy:  12.47371401570486 %, lr:  0.0001804352061632004
Epoch:  6 , validation loss:  1.8782817840576171 , validation accuracy:  11.153553432237167 %, lr:  0.0001804352061632004
Epoch:  7 , validation loss:  1.8776445388793945 , validation accuracy:  10.731895584676037 %, lr:  0.0001804352061632004
Epoch:  8 , validation loss:  1.877949333190918 , validation accuracy:  11.481790080039245 %, lr:  0.0001804352061632004
Epoch:  9 , validation loss:  1.8767824172973633 , validation accuracy:  10.768326245585937 %, lr:  0.0001804352061632004
Epoch:  10 , validation loss:  1.8764453887939454 , validation accuracy:  10.80980670107741 %, lr:  0.0001804352061632004
Epoch:  11 , validation loss:  1.87731990814209 , validation accuracy:  10.520886311088988 %, lr:  0.0001804352061632004
Epoch:  12 , validation loss:  1.878176498413086 , validation accuracy:  10.338733006539485 %, lr:  0.0001804352061632004
Epoch:  13 , validation loss:  1.8760868072509767 , validation accuracy:  10.901424402771616 %, lr:  0.0001804352061632004
Epoch:  14 , validation loss:  1.8760499954223633 , validation accuracy:  10.829284480177753 %, lr:  0.0001804352061632004
Epoch:  15 , validation loss:  1.8759357452392578 , validation accuracy:  10.81485649565898 %, lr:  0.0001804352061632004
Epoch:  16 , validation loss:  1.8761409759521483 , validation accuracy:  10.68825093150675 %, lr:  0.0001804352061632004
Epoch:  17 , validation loss:  1.8795894622802733 , validation accuracy:  10.127723732952434 %, lr:  0.0001804352061632004
Epoch:  18 , validation loss:  1.8756999969482422 , validation accuracy:  11.10521968409928 %, lr:  0.0001804352061632004
Epoch:  19 , validation loss:  1.877387237548828 , validation accuracy:  10.395002146162698 %, lr:  0.0001804352061632004
Epoch:  20 , validation loss:  1.8766611099243165 , validation accuracy:  10.527018204509467 %, lr:  0.0001804352061632004
Epoch:  21 , validation loss:  1.8758134841918945 , validation accuracy:  10.686447433441904 %, lr:  0.0001804352061632004
Epoch:  22 , validation loss:  1.8753320693969726 , validation accuracy:  10.911884691547726 %, lr:  0.0001804352061632004
Epoch:  23 , validation loss:  1.8760566711425781 , validation accuracy:  10.605650720136778 %, lr:  0.0001804352061632004
Epoch:  24 , validation loss:  1.8755516052246093 , validation accuracy:  10.817742092562735 %, lr:  0.0001804352061632004
Epoch:  25 , validation loss:  1.8794031143188477 , validation accuracy:  10.089128874364718 %, lr:  0.0001804352061632004
Epoch:  26 , validation loss:  1.8755481719970704 , validation accuracy:  10.663723357824836 %, lr:  0.0001804352061632004
Epoch:  27 , validation loss:  1.8765703201293946 , validation accuracy:  10.458845977658266 %, lr:  0.0001804352061632004
Epoch:  28 , validation loss:  1.875519371032715 , validation accuracy:  11.254910023481544 %, lr:  0.0001804352061632004
Epoch:  29 , validation loss:  1.8762426376342773 , validation accuracy:  10.4678634679825 %, lr:  0.0001804352061632004
Epoch:  30 , validation loss:  1.874871826171875 , validation accuracy:  10.826038183661028 %, lr:  0.0001804352061632004
Epoch:  31 , validation loss:  1.8758205413818358 , validation accuracy:  10.536396394446669 %, lr:  0.0001804352061632004
Epoch:  32 , validation loss:  1.8767827987670898 , validation accuracy:  10.309877037501938 %, lr:  0.0001804352061632004
Epoch:  33 , validation loss:  1.8742822647094726 , validation accuracy:  11.041015152990742 %, lr:  0.0001804352061632004
Epoch:  34 , validation loss:  1.8741514205932617 , validation accuracy:  11.070231821641254 %, lr:  0.0001804352061632004
Epoch:  35 , validation loss:  1.878269577026367 , validation accuracy:  10.129166531404312 %, lr:  0.0001804352061632004
Epoch:  36 , validation loss:  1.8754608154296875 , validation accuracy:  10.438646799331984 %, lr:  0.0001804352061632004
Epoch:  37 , validation loss:  1.8736560821533204 , validation accuracy:  11.18890199430816 %, lr:  0.0001804352061632004
Epoch:  38 , validation loss:  1.8740392684936524 , validation accuracy:  10.650377472144973 %, lr:  0.0001804352061632004
Epoch:  39 , validation loss:  1.8724960327148437 , validation accuracy:  10.97320362575251 %, lr:  0.0001804352061632004
