Loading data...
Using  cuda
Training...
Epoch:  1 , validation loss:  2.421282196044922 , validation accuracy:  0.0 %, lr:  0.0004462494228515028
Epoch:  2 , validation loss:  1.8839536666870118 , validation accuracy:  11.622462929097278 %, lr:  0.0004462494228515028
Epoch:  3 , validation loss:  1.8802986145019531 , validation accuracy:  10.679954840408456 %, lr:  0.0004462494228515028
Epoch:  4 , validation loss:  1.8788597106933593 , validation accuracy:  10.937494364068549 %, lr:  0.0004462494228515028
Epoch:  5 , validation loss:  1.878505325317383 , validation accuracy:  11.147782238429658 %, lr:  0.0004462494228515028
Epoch:  6 , validation loss:  1.8786237716674805 , validation accuracy:  10.56272746619343 %, lr:  0.0004462494228515028
Epoch:  7 , validation loss:  1.8786518096923828 , validation accuracy:  10.480487954436425 %, lr:  0.0004462494228515028
Epoch:  8 , validation loss:  1.8801141738891602 , validation accuracy:  10.199863655546297 %, lr:  0.0004462494228515028
Epoch:  9 , validation loss:  1.877347755432129 , validation accuracy:  10.571023557291722 %, lr:  0.0004462494228515028
Epoch:  10 , validation loss:  1.8779159545898438 , validation accuracy:  10.38345975854768 %, lr:  0.0004462494228515028
Epoch:  11 , validation loss:  1.8761459350585938 , validation accuracy:  10.701596817186616 %, lr:  0.0004462494228515028
Epoch:  12 , validation loss:  1.875594139099121 , validation accuracy:  10.929558972583223 %, lr:  0.0004462494228515028
Epoch:  13 , validation loss:  1.8756744384765625 , validation accuracy:  10.635588788013232 %, lr:  0.0004462494228515028
Epoch:  14 , validation loss:  1.8752618789672852 , validation accuracy:  11.063017829381868 %, lr:  0.0004462494228515028
Epoch:  15 , validation loss:  1.8764410018920898 , validation accuracy:  10.423497415587272 %, lr:  0.0004462494228515028
Epoch:  16 , validation loss:  1.874899673461914 , validation accuracy:  10.668773152406407 %, lr:  0.0004462494228515028
Epoch:  17 , validation loss:  1.8746349334716796 , validation accuracy:  10.67851204195658 %, lr:  0.0004462494228515028
Epoch:  18 , validation loss:  1.8749540328979493 , validation accuracy:  10.545413884770902 %, lr:  0.0004462494228515028
Epoch:  19 , validation loss:  1.8740585327148438 , validation accuracy:  10.838662670114955 %, lr:  0.0004462494228515028
Epoch:  20 , validation loss:  1.8737781524658204 , validation accuracy:  11.196837385793485 %, lr:  0.0004462494228515028
Epoch:  21 , validation loss:  1.874342918395996 , validation accuracy:  10.912245391160695 %, lr:  0.0004462494228515028
Epoch:  22 , validation loss:  1.8726598739624023 , validation accuracy:  11.715162729630391 %, lr:  0.0004462494228515028
Epoch:  23 , validation loss:  1.8730443954467773 , validation accuracy:  11.090070300354569 %, lr:  0.0004462494228515028
Epoch:  24 , validation loss:  1.8719409942626952 , validation accuracy:  11.807501830550535 %, lr:  0.0004462494228515028
Epoch:  25 , validation loss:  1.872258758544922 , validation accuracy:  11.302161672780525 %, lr:  0.0004462494228515028
Epoch:  26 , validation loss:  1.8728063583374024 , validation accuracy:  11.06337852899484 %, lr:  0.0004462494228515028
Epoch:  27 , validation loss:  1.8715507507324218 , validation accuracy:  11.428045837706815 %, lr:  0.0004462494228515028
Epoch:  28 , validation loss:  1.8721593856811523 , validation accuracy:  12.355765242263896 %, lr:  0.0004462494228515028
Epoch:  29 , validation loss:  1.870712661743164 , validation accuracy:  11.767103473897972 %, lr:  0.0004462494228515028
Epoch:  30 , validation loss:  1.8706104278564453 , validation accuracy:  11.676928570655644 %, lr:  0.0004462494228515028
Epoch:  31 , validation loss:  1.8701723098754883 , validation accuracy:  11.715162729630391 %, lr:  0.0004462494228515028
Epoch:  32 , validation loss:  1.8723487854003906 , validation accuracy:  11.20441207766584 %, lr:  0.0004462494228515028
Epoch:  33 , validation loss:  1.8760181427001954 , validation accuracy:  10.718188999383203 %, lr:  0.0004462494228515028
Epoch:  34 , validation loss:  1.86868896484375 , validation accuracy:  11.983523241679562 %, lr:  0.0004462494228515028
Epoch:  35 , validation loss:  1.8673891067504882 , validation accuracy:  11.680896266398307 %, lr:  0.0004462494228515028
Epoch:  36 , validation loss:  1.86239013671875 , validation accuracy:  11.819404917778522 %, lr:  0.0004462494228515028
Epoch:  37 , validation loss:  1.857213592529297 , validation accuracy:  11.406043161315688 %, lr:  0.0004462494228515028
