Loading data...
Using  cuda
Training...
Epoch:  1 , validation loss:  1.880394744873047 , validation accuracy:  11.223529157153214 %, lr:  0.0009242853935391064
Epoch:  2 , validation loss:  1.8850275039672852 , validation accuracy:  9.865134414710774 %, lr:  0.0009242853935391064
Epoch:  3 , validation loss:  1.8784648895263671 , validation accuracy:  10.21970213425961 %, lr:  0.0009242853935391064
Epoch:  4 , validation loss:  1.874654769897461 , validation accuracy:  11.585671568574407 %, lr:  0.0009242853935391064
Epoch:  5 , validation loss:  1.8733081817626953 , validation accuracy:  12.815657248799772 %, lr:  0.0009242853935391064
Epoch:  6 , validation loss:  1.8741180419921875 , validation accuracy:  11.880723851983307 %, lr:  0.0009242853935391064
Epoch:  7 , validation loss:  1.8731124877929688 , validation accuracy:  11.806419731711628 %, lr:  0.0009242853935391064
Epoch:  8 , validation loss:  1.8719833374023438 , validation accuracy:  12.381374914784717 %, lr:  0.0009242853935391064
Epoch:  9 , validation loss:  1.8717918395996094 , validation accuracy:  12.303103098770375 %, lr:  0.0009242853935391064
Epoch:  10 , validation loss:  1.8755542755126953 , validation accuracy:  11.597213956189426 %, lr:  0.0009242853935391064
Epoch:  11 , validation loss:  1.8737796783447265 , validation accuracy:  11.871345662046105 %, lr:  0.0009242853935391064
Epoch:  12 , validation loss:  1.8737062454223632 , validation accuracy:  11.683421163689092 %, lr:  0.0009242853935391064
Epoch:  13 , validation loss:  1.870721435546875 , validation accuracy:  11.824454712360094 %, lr:  0.0009242853935391064
Epoch:  14 , validation loss:  1.8714776992797852 , validation accuracy:  11.871345662046105 %, lr:  0.0009242853935391064
Epoch:  15 , validation loss:  1.869247817993164 , validation accuracy:  13.030634218129483 %, lr:  0.0009242853935391064
Epoch:  16 , validation loss:  1.8678951263427734 , validation accuracy:  12.466860723058444 %, lr:  0.0009242853935391064
Epoch:  17 , validation loss:  1.865958023071289 , validation accuracy:  11.951781675738262 %, lr:  0.0009242853935391064
Epoch:  18 , validation loss:  1.8652124404907227 , validation accuracy:  11.561865394118433 %, lr:  0.0009242853935391064
Epoch:  19 , validation loss:  1.8191408157348632 , validation accuracy:  11.861606772495934 %, lr:  0.0009242853935391064
Epoch:  20 , validation loss:  1.864029312133789 , validation accuracy:  11.22641475405697 %, lr:  0.0009242853935391064
Epoch:  21 , validation loss:  1.8782033920288086 , validation accuracy:  11.467362095520471 %, lr:  0.0009242853935391064
Epoch:  22 , validation loss:  1.868610954284668 , validation accuracy:  11.740051002925274 %, lr:  0.0009242853935391064
Epoch:  23 , validation loss:  1.7930479049682617 , validation accuracy:  12.180465230360808 %, lr:  0.0009242853935391064
Epoch:  24 , validation loss:  1.4610371589660645 , validation accuracy:  24.496914214811046 %, lr:  0.0009242853935391064
Epoch:  25 , validation loss:  1.8775930404663086 , validation accuracy:  11.14201104462215 %, lr:  0.0009242853935391064
Epoch:  26 , validation loss:  1.8430057525634767 , validation accuracy:  10.602043724007086 %, lr:  0.0009242853935391064
Epoch:  27 , validation loss:  1.4803242683410645 , validation accuracy:  20.55518884428237 %, lr:  0.0009242853935391064
Epoch:  28 , validation loss:  1.614190673828125 , validation accuracy:  16.389829713712718 %, lr:  0.0009242853935391064
