Loading data...
Using  cuda
Training...
Epoch:  1 , validation loss:  3.693661117553711 , validation accuracy:  0.0 %, lr:  0.00022247825899135215
Epoch:  2 , validation loss:  3.406682586669922 , validation accuracy:  0.0 %, lr:  0.00022247825899135215
Epoch:  3 , validation loss:  3.0283781051635743 , validation accuracy:  0.0 %, lr:  0.00022247825899135215
Epoch:  4 , validation loss:  2.6029903411865236 , validation accuracy:  0.10820988389079458 %, lr:  0.00022247825899135215
Epoch:  5 , validation loss:  2.218888282775879 , validation accuracy:  11.248778130061067 %, lr:  0.00022247825899135215
Epoch:  6 , validation loss:  1.9886058807373046 , validation accuracy:  16.94638921652437 %, lr:  0.00022247825899135215
Epoch:  7 , validation loss:  1.916071891784668 , validation accuracy:  13.052276194907641 %, lr:  0.00022247825899135215
Epoch:  8 , validation loss:  1.9051126480102538 , validation accuracy:  11.67873206872049 %, lr:  0.00022247825899135215
Epoch:  9 , validation loss:  1.9031789779663086 , validation accuracy:  11.297111878198955 %, lr:  0.00022247825899135215
Epoch:  10 , validation loss:  1.902109718322754 , validation accuracy:  11.147421538816689 %, lr:  0.00022247825899135215
Epoch:  11 , validation loss:  1.9011314392089844 , validation accuracy:  11.070592521254225 %, lr:  0.00022247825899135215
Epoch:  12 , validation loss:  1.9000743865966796 , validation accuracy:  11.077445813900642 %, lr:  0.00022247825899135215
Epoch:  13 , validation loss:  1.8991804122924805 , validation accuracy:  11.050032643314973 %, lr:  0.00022247825899135215
Epoch:  14 , validation loss:  1.8983322143554688 , validation accuracy:  11.0309155638276 %, lr:  0.00022247825899135215
Epoch:  15 , validation loss:  1.897577667236328 , validation accuracy:  10.967432431945001 %, lr:  0.00022247825899135215
Epoch:  16 , validation loss:  1.8968240737915039 , validation accuracy:  10.9580542420078 %, lr:  0.00022247825899135215
Epoch:  17 , validation loss:  1.8962472915649413 , validation accuracy:  10.907195596579125 %, lr:  0.00022247825899135215
Epoch:  18 , validation loss:  1.8955677032470704 , validation accuracy:  10.906113497740217 %, lr:  0.00022247825899135215
Epoch:  19 , validation loss:  1.8949743270874024 , validation accuracy:  10.884832220575028 %, lr:  0.00022247825899135215
Epoch:  20 , validation loss:  1.8944078445434571 , validation accuracy:  10.874371931798917 %, lr:  0.00022247825899135215
Epoch:  21 , validation loss:  1.8937877655029296 , validation accuracy:  10.891324813608474 %, lr:  0.00022247825899135215
Epoch:  22 , validation loss:  1.8934419631958008 , validation accuracy:  10.83541637359823 %, lr:  0.00022247825899135215
Epoch:  23 , validation loss:  1.8931148529052735 , validation accuracy:  10.794657317332698 %, lr:  0.00022247825899135215
Epoch:  24 , validation loss:  1.8926916122436523 , validation accuracy:  10.812331598368194 %, lr:  0.00022247825899135215
Epoch:  25 , validation loss:  1.8922529220581055 , validation accuracy:  10.85164785618185 %, lr:  0.00022247825899135215
Epoch:  26 , validation loss:  1.8921062469482421 , validation accuracy:  10.785639827008465 %, lr:  0.00022247825899135215
Epoch:  27 , validation loss:  1.8917028427124023 , validation accuracy:  10.830005879403691 %, lr:  0.00022247825899135215
Epoch:  28 , validation loss:  1.8915904998779296 , validation accuracy:  10.763637150617338 %, lr:  0.00022247825899135215
Epoch:  29 , validation loss:  1.891218376159668 , validation accuracy:  10.801510609979116 %, lr:  0.00022247825899135215
Epoch:  30 , validation loss:  1.8910537719726563 , validation accuracy:  10.790689621590035 %, lr:  0.00022247825899135215
Epoch:  31 , validation loss:  1.8909034729003906 , validation accuracy:  10.754258960680135 %, lr:  0.00022247825899135215
Epoch:  32 , validation loss:  1.8907344818115235 , validation accuracy:  10.739109576935423 %, lr:  0.00022247825899135215
Epoch:  33 , validation loss:  1.8906095504760743 , validation accuracy:  10.71963179783508 %, lr:  0.00022247825899135215
Epoch:  34 , validation loss:  1.8906076431274415 , validation accuracy:  10.682479737699241 %, lr:  0.00022247825899135215
Epoch:  35 , validation loss:  1.8903261184692384 , validation accuracy:  10.724320892803682 %, lr:  0.00022247825899135215
Epoch:  36 , validation loss:  1.8903406143188477 , validation accuracy:  10.696186322992075 %, lr:  0.00022247825899135215
Epoch:  37 , validation loss:  1.8901260375976563 , validation accuracy:  10.727206489707436 %, lr:  0.00022247825899135215
Epoch:  38 , validation loss:  1.890157699584961 , validation accuracy:  10.686808133054873 %, lr:  0.00022247825899135215
Epoch:  39 , validation loss:  1.8899147033691406 , validation accuracy:  10.728649288159314 %, lr:  0.00022247825899135215
Epoch:  40 , validation loss:  1.8897876739501953 , validation accuracy:  10.766162047908123 %, lr:  0.00022247825899135215
Epoch:  41 , validation loss:  1.889846420288086 , validation accuracy:  10.70953220867194 %, lr:  0.00022247825899135215
Epoch:  42 , validation loss:  1.8897367477416993 , validation accuracy:  10.742716573065117 %, lr:  0.00022247825899135215
Epoch:  43 , validation loss:  1.8897594451904296 , validation accuracy:  10.722517394738835 %, lr:  0.00022247825899135215
Epoch:  44 , validation loss:  1.8897119522094727 , validation accuracy:  10.732256284289008 %, lr:  0.00022247825899135215
Epoch:  45 , validation loss:  1.8896324157714843 , validation accuracy:  10.73622398003167 %, lr:  0.00022247825899135215
Epoch:  46 , validation loss:  1.8895784378051759 , validation accuracy:  10.748127067259656 %, lr:  0.00022247825899135215
Epoch:  47 , validation loss:  1.8896392822265624 , validation accuracy:  10.717828299770234 %, lr:  0.00022247825899135215
Epoch:  48 , validation loss:  1.8894689559936524 , validation accuracy:  10.761833652552491 %, lr:  0.00022247825899135215
Epoch:  49 , validation loss:  1.889504623413086 , validation accuracy:  10.730092086611192 %, lr:  0.00022247825899135215
Epoch:  50 , validation loss:  1.8894445419311523 , validation accuracy:  10.754619660293105 %, lr:  0.00022247825899135215
Epoch:  51 , validation loss:  1.8896076202392578 , validation accuracy:  10.70917150905897 %, lr:  0.00022247825899135215
Epoch:  52 , validation loss:  1.8894056320190429 , validation accuracy:  10.770490443263753 %, lr:  0.00022247825899135215
Epoch:  53 , validation loss:  1.8893745422363282 , validation accuracy:  10.771933241715631 %, lr:  0.00022247825899135215
Epoch:  54 , validation loss:  1.8894466400146483 , validation accuracy:  10.736945379257607 %, lr:  0.00022247825899135215
Epoch:  55 , validation loss:  1.88934326171875 , validation accuracy:  10.771933241715631 %, lr:  0.00022247825899135215
Epoch:  56 , validation loss:  1.8893756866455078 , validation accuracy:  10.754258960680135 %, lr:  0.00022247825899135215
Epoch:  57 , validation loss:  1.8893194198608398 , validation accuracy:  10.770490443263753 %, lr:  0.00022247825899135215
Epoch:  58 , validation loss:  1.8892921447753905 , validation accuracy:  10.774097439393447 %, lr:  0.00022247825899135215
Epoch:  59 , validation loss:  1.8893667221069337 , validation accuracy:  10.753537561454197 %, lr:  0.00022247825899135215
Epoch:  60 , validation loss:  1.889408493041992 , validation accuracy:  10.74632356919481 %, lr:  0.00022247825899135215
Epoch:  61 , validation loss:  1.8894222259521485 , validation accuracy:  10.748127067259656 %, lr:  0.00022247825899135215
Epoch:  62 , validation loss:  1.8893308639526367 , validation accuracy:  10.759669454874675 %, lr:  0.00022247825899135215
Epoch:  63 , validation loss:  1.8892755508422852 , validation accuracy:  10.770851142876724 %, lr:  0.00022247825899135215
Epoch:  64 , validation loss:  1.8893499374389648 , validation accuracy:  10.76255505177843 %, lr:  0.00022247825899135215
Epoch:  65 , validation loss:  1.8893852233886719 , validation accuracy:  10.748487766872627 %, lr:  0.00022247825899135215
Epoch:  66 , validation loss:  1.8893136978149414 , validation accuracy:  10.763997850230307 %, lr:  0.00022247825899135215
Epoch:  67 , validation loss:  1.889411735534668 , validation accuracy:  10.739109576935423 %, lr:  0.00022247825899135215
Epoch:  68 , validation loss:  1.8893444061279296 , validation accuracy:  10.759669454874675 %, lr:  0.00022247825899135215
Epoch:  69 , validation loss:  1.8892335891723633 , validation accuracy:  10.766162047908123 %, lr:  0.00022247825899135215
Epoch:  70 , validation loss:  1.889200782775879 , validation accuracy:  10.779507933587986 %, lr:  0.00022247825899135215
Epoch:  71 , validation loss:  1.8891660690307617 , validation accuracy:  10.789968222364097 %, lr:  0.00022247825899135215
Epoch:  72 , validation loss:  1.8891590118408204 , validation accuracy:  10.786361226234405 %, lr:  0.00022247825899135215
Epoch:  73 , validation loss:  1.8892393112182617 , validation accuracy:  10.761833652552491 %, lr:  0.00022247825899135215
Epoch:  74 , validation loss:  1.8892831802368164 , validation accuracy:  10.759669454874675 %, lr:  0.00022247825899135215
Epoch:  75 , validation loss:  1.8892990112304688 , validation accuracy:  10.758587356035768 %, lr:  0.00022247825899135215
Epoch:  76 , validation loss:  1.8893291473388671 , validation accuracy:  10.74632356919481 %, lr:  0.00022247825899135215
Epoch:  77 , validation loss:  1.8891963958740234 , validation accuracy:  10.768686945198908 %, lr:  0.00022247825899135215
Epoch:  78 , validation loss:  1.889190101623535 , validation accuracy:  10.771933241715631 %, lr:  0.00022247825899135215
Epoch:  79 , validation loss:  1.889225959777832 , validation accuracy:  10.775540237845323 %, lr:  0.00022247825899135215
Epoch:  80 , validation loss:  1.8893489837646484 , validation accuracy:  10.744520071129964 %, lr:  0.00022247825899135215
Epoch:  81 , validation loss:  1.889256477355957 , validation accuracy:  10.759308755261705 %, lr:  0.00022247825899135215
Epoch:  82 , validation loss:  1.8891883850097657 , validation accuracy:  10.77337604016751 %, lr:  0.00022247825899135215
Epoch:  83 , validation loss:  1.889181137084961 , validation accuracy:  10.775900937458294 %, lr:  0.00022247825899135215
Epoch:  84 , validation loss:  1.8892461776733398 , validation accuracy:  10.76147295293952 %, lr:  7.341782546714621e-05
Epoch:  85 , validation loss:  1.8892707824707031 , validation accuracy:  10.756062458744982 %, lr:  7.341782546714621e-05
Epoch:  86 , validation loss:  1.8892478942871094 , validation accuracy:  10.76147295293952 %, lr:  7.341782546714621e-05
Epoch:  87 , validation loss:  1.88922176361084 , validation accuracy:  10.764719249456245 %, lr:  7.341782546714621e-05
Epoch:  88 , validation loss:  1.8892295837402344 , validation accuracy:  10.76796554597297 %, lr:  7.341782546714621e-05
Epoch:  89 , validation loss:  1.8892620086669922 , validation accuracy:  10.759308755261705 %, lr:  7.341782546714621e-05
Epoch:  90 , validation loss:  1.8892196655273437 , validation accuracy:  10.76219435216546 %, lr:  7.341782546714621e-05
Epoch:  91 , validation loss:  1.8892484664916993 , validation accuracy:  10.760751553713582 %, lr:  7.341782546714621e-05
Epoch:  92 , validation loss:  1.8892498016357422 , validation accuracy:  10.760030154487644 %, lr:  7.341782546714621e-05
Epoch:  93 , validation loss:  1.8892723083496095 , validation accuracy:  10.753898261067166 %, lr:  7.341782546714621e-05
Epoch:  94 , validation loss:  1.8892557144165039 , validation accuracy:  10.76147295293952 %, lr:  7.341782546714621e-05
Epoch:  95 , validation loss:  1.8892549514770507 , validation accuracy:  10.760751553713582 %, lr:  7.341782546714621e-05
Epoch:  96 , validation loss:  1.8892601013183594 , validation accuracy:  10.756062458744982 %, lr:  7.341782546714621e-05
Epoch:  97 , validation loss:  1.8892494201660157 , validation accuracy:  10.759308755261705 %, lr:  7.341782546714621e-05
Epoch:  98 , validation loss:  1.8892698287963867 , validation accuracy:  10.753176861841226 %, lr:  7.341782546714621e-05
Epoch:  99 , validation loss:  1.889215087890625 , validation accuracy:  10.763637150617338 %, lr:  7.341782546714621e-05
Epoch:  100 , validation loss:  1.8892450332641602 , validation accuracy:  10.758587356035768 %, lr:  7.341782546714621e-05
Epoch:  101 , validation loss:  1.8892364501953125 , validation accuracy:  10.76255505177843 %, lr:  7.341782546714621e-05
Epoch:  102 , validation loss:  1.8892406463623046 , validation accuracy:  10.760030154487644 %, lr:  7.341782546714621e-05
Epoch:  103 , validation loss:  1.889255905151367 , validation accuracy:  10.757865956809828 %, lr:  7.341782546714621e-05
Epoch:  104 , validation loss:  1.8892282485961913 , validation accuracy:  10.76219435216546 %, lr:  7.341782546714621e-05
Epoch:  105 , validation loss:  1.8892465591430665 , validation accuracy:  10.75750525719686 %, lr:  2.422788240415825e-05
Epoch:  106 , validation loss:  1.8892412185668945 , validation accuracy:  10.757865956809828 %, lr:  2.422788240415825e-05
Epoch:  107 , validation loss:  1.8892295837402344 , validation accuracy:  10.761833652552491 %, lr:  2.422788240415825e-05
Epoch:  108 , validation loss:  1.8892263412475585 , validation accuracy:  10.76219435216546 %, lr:  2.422788240415825e-05
Epoch:  109 , validation loss:  1.8892370223999024 , validation accuracy:  10.760390854100613 %, lr:  2.422788240415825e-05
Epoch:  110 , validation loss:  1.8892377853393554 , validation accuracy:  10.758948055648736 %, lr:  2.422788240415825e-05
Epoch:  111 , validation loss:  1.889227294921875 , validation accuracy:  10.759308755261705 %, lr:  2.422788240415825e-05
Epoch:  112 , validation loss:  1.8892318725585937 , validation accuracy:  10.758226656422798 %, lr:  2.422788240415825e-05
