Loading data...
Using  cuda
Training...
Epoch:  1 , validation loss:  1.8819929122924806 , validation accuracy:  11.096562893388015 %, lr:  0.0023735343122160565
Epoch:  2 , validation loss:  1.8789634704589844 , validation accuracy:  11.065182027059684 %, lr:  0.0023735343122160565
Epoch:  3 , validation loss:  1.8759355545043945 , validation accuracy:  10.785639827008465 %, lr:  0.0023735343122160565
Epoch:  4 , validation loss:  1.8749452590942384 , validation accuracy:  10.438646799331984 %, lr:  0.0023735343122160565
Epoch:  5 , validation loss:  1.8802330017089843 , validation accuracy:  10.0141033548671 %, lr:  0.0023735343122160565
Epoch:  6 , validation loss:  1.8711620330810548 , validation accuracy:  12.471549818027047 %, lr:  0.0023735343122160565
Epoch:  7 , validation loss:  1.8724987030029296 , validation accuracy:  11.979555545936899 %, lr:  0.0023735343122160565
Epoch:  8 , validation loss:  1.8739391326904298 , validation accuracy:  10.877978927928611 %, lr:  0.0023735343122160565
Epoch:  9 , validation loss:  1.8693077087402343 , validation accuracy:  12.976529276184086 %, lr:  0.0023735343122160565
Epoch:  10 , validation loss:  1.880590057373047 , validation accuracy:  14.781830839095509 %, lr:  0.0023735343122160565
Epoch:  11 , validation loss:  1.8716548919677733 , validation accuracy:  11.476740285457673 %, lr:  0.0023735343122160565
Epoch:  12 , validation loss:  1.871333122253418 , validation accuracy:  11.440670324160743 %, lr:  0.0023735343122160565
Epoch:  13 , validation loss:  1.8731077194213868 , validation accuracy:  11.005666590919748 %, lr:  0.0023735343122160565
Epoch:  14 , validation loss:  1.8672750473022461 , validation accuracy:  11.750871991314353 %, lr:  0.0023735343122160565
Epoch:  15 , validation loss:  1.8678863525390625 , validation accuracy:  11.781892158029715 %, lr:  0.0023735343122160565
Epoch:  16 , validation loss:  1.8646656036376954 , validation accuracy:  12.538639946039337 %, lr:  0.0023735343122160565
Epoch:  17 , validation loss:  1.8863828659057618 , validation accuracy:  9.48784261954487 %, lr:  0.0023735343122160565
Epoch:  18 , validation loss:  1.867474365234375 , validation accuracy:  11.548519508438568 %, lr:  0.0023735343122160565
Epoch:  19 , validation loss:  1.8677385330200196 , validation accuracy:  13.381594941548627 %, lr:  0.0023735343122160565
Epoch:  20 , validation loss:  1.8776573181152343 , validation accuracy:  10.38850955312925 %, lr:  0.0023735343122160565
Epoch:  21 , validation loss:  1.8660430908203125 , validation accuracy:  11.006748689758656 %, lr:  0.0023735343122160565
Epoch:  22 , validation loss:  1.867409896850586 , validation accuracy:  14.143753223752793 %, lr:  0.0023735343122160565
Epoch:  23 , validation loss:  1.8647106170654297 , validation accuracy:  12.644685632252317 %, lr:  0.0023735343122160565
Epoch:  24 , validation loss:  1.8738042831420898 , validation accuracy:  15.147219547033425 %, lr:  0.0023735343122160565
Epoch:  25 , validation loss:  1.863314437866211 , validation accuracy:  11.622823628710247 %, lr:  0.0023735343122160565
